Diploma,Opleiding,Jaar,Semester,Cursuscode,Studiepunten,Lesgevers,Trefwoorden,Evaluatiemomenten,Evaluatievormen PGE1,Evaluatievormen PGE2,Evaluatievormen NPGE
BACH,BBCRIM,1,1,B000309,5,Toon Moonen,staatsrecht|bestuursrecht|fundamentele rechten|democratie|federalisme|de rechtsstaat|belgië als staat in europa.,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,schriftelijk examen met meerkeuzevragen
BACH,BBCRIM,1,1,B000703,5,Jan Verplaetse,moraal|ethiek|klassieke rechtvaardigingstoets|morele beginselen|consequentialisme|deontologisme|morele justificatie van straffen en dwang|emotiemoralen|altruïsme|coöperatief gedrag.,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,peer-evaluatie
BACH,BBCRIM,1,1,B001623,6,Marc Cools,criminologie|criminaliteit|deviantie|oorzaken van criminaliteit en deviantie|reactie op criminaliteit en deviantie,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
BACH,BBCRIM,1,1,B001624,5,Bart Van de Putte,institutionalisatie|cultuur|structuur|stratificatie|deviantie|sociale verandering,periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,participatie
BACH,BBCRIM,1,1,B001625,5,Sebastiaan Vandenbogaerde,belgisch recht|strafrecht|rechtsbronnen|beginselen|geschiedenis|juridische methodiek,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,BBCRIM,1,1,B001627,4,Wim Hardyns,bronnen|ontsluitingsmiddelen|vindplaatsen|schrijfvaardigheden|refereren|databanken.,periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,werkstuk
BACH,BBCRIM,1,2,B000520,5,Herwig Reynaert,belgië|politiek|parlementaire democratie|sociaal-economische evolutie|breuklijnentheorie,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
BACH,BBCRIM,1,2,B001626,4,Lieven Pauwels,evolutie van de mens|nature/nurture|biocriminologie|genetica|diversiteit bij de mens|menselijk gedrag en biologie,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,BBCRIM,1,2,B001628,7,Lieven Pauwels|Christophe Vandeviver,statistiek in de criminologie|toegepaste statistiek|kwantitatieve methoden|univariate en bivariate beschrijvende statistiek|inductieve (inferentiële) statistiek|multivariate statistiek,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,BBCRIM,1,2,B001629,5,Wim Notebaert,biologische basis van gedrag|menselijke informatieverwerking|taal|aandacht|waarneming,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,BBCRIM,1,2,B001630,3,Marc Boone,- kritisch omgaan met bronnen|geschiedenis,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,BBCRIM,1,2,B001641,6,Antoinette Verhage,publieke politie|inspectiediensten|inlichtingendiensten|openbaar ministerie|rechtbanken|diensten strafuitvoering,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,werkstuk
BACH,BBCRIM,2,1,B001502,5,Lieven Pauwels,etiologie|theoretische verklaringsmodellen|oorzaken van delinquent gedrag,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
