Diploma,Opleiding,Jaar,Semester,Cursuscode,Studiepunten,Lesgevers,Trefwoorden,Evaluatiemomenten,Evaluatievormen PGE1,Evaluatievormen PGE2,Evaluatievormen NPGE
BACH,CBBIBI,1,1,C000057,5,Bartel Van Waeyenberge|Christophe Detavernier,algemene fysica|basisbegrippen|principes.,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen|participatie|vaardigheidstest|verslag
BACH,CBBIBI,1,1,C000514,5,Koen Thas,toepasbare wiskunde,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
BACH,CBBIBI,1,1,C003481,5,Annemieke Verbeken|Tom Beeckman,biodiversiteit van planten|prokaryoten|protista|wieren|landplanten|zwammen|basisbegrippen van morfologische en anatomische diversiteit bij bloemplanten,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|mondeling examen,schriftelijk examen met open vragen|mondeling examen,schriftelijk examen
BACH,CBBIBI,1,1,C003943,5,José Martins|Zeger Hens,atomen en moleculen|ruimtelijke opbouw|elektronische structuur|chemische binding|kwantummechanica (beschrijvend)|conformatie|stereochemie,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,participatie|gedragsevaluatie op de werkvloer|verslag
BACH,CBBIBI,1,1,C003945,5,Geert Berx|Tom Beeckman,celculturen|microscopie|embryonale ontwikkeling|kiembladen|histologie|weefsels|celmembranen|celwand|plasmodesmata|organellen|plastiden|vesikeltransport|cytoskeletten|celadhesie|extracellulaire matrix.,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
BACH,CBBIBI,1,2,C000673,5,Bartel Van Waeyenberge|Diederik Depla,basisbegrippen fysica|principes,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,participatie|vaardigheidstest|verslag
BACH,CBBIBI,1,2,C001837,5,Koen Thas,toepasbare wiskunde,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
BACH,CBBIBI,1,2,C003390,5,Peter Vandenabeele|Wim Declercq,leven|oorsprong|evolutie|celbiologie|biochemie|genetica|moleculaire biologie|biotechnologie|inleiding tot,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,participatie
BACH,CBBIBI,1,2,C003761,5,Tom Moens,zoölogie|biodiversiteit|ongewervelden|gewervelden|levenscycli|modelorganismen|systematiek|bouwplan|verwantschappen,periodegebonden|niet-periodegebonden,mondeling examen,mondeling examen,participatie|gedragsevaluatie op de werkvloer|verslag
BACH,CBBIBI,1,2,C003944,5,Bart Devreese|Kristof Van Hecke,structuur en functie van biomoleculen: nucleïnezuren|eiwitten|suikers|lipiden|membranen|enzymen,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,portfolio|werkstuk
BACH,CBBIBI,1,J,C004091,10,Isabel Van Driessche|Klaartje De Buysser,atoom- en molecuulbouw|periodiek systeem|chemische reacties|stoichiometrie|reactiesnelheid|evenwichten in waterige oplossingen|zuur-base chemie|thermodynamica|electrochemie. experimentele technieken|laboratoriumvaardigheden|veilig werken|correct rapporteren,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,mondeling examen|participatie|vaardigheidstest|gedragsevaluatie op de werkvloer|verslag
BACH,CBBIBI,2,1,C000340,5,Lieven Clement,statistiek|statistische dataverwerking|lineaire modellen|hypothese toetsen|variantie- analyse|regressie-analyse|logistische regressie|niet-parametrische testen.,periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen|openboekexamen,schriftelijk examen met meerkeuzevragen|openboekexamen,werkstuk
BACH,CBBIBI,2,1,C001815,5,Johan Van der Eycken,organische chemie|reactiviteit,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,schriftelijk examen|participatie|vaardigheidstest|gedragsevaluatie op de werkvloer|verslag
BACH,CBBIBI,2,1,C002140,5,Mieke Adriaens,chemische analyse|gravimetrie|volumetrie|spectrometrie,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,participatie|vaardigheidstest|gedragsevaluatie op de werkvloer|verslag
BACH,CBBIBI,2,1,C003080,5,Peter Dawyndt,programmeervaardigheden|probleemoplossend denken|programmeertaal python,periodegebonden|niet-periodegebonden,openboekexamen|vaardigheidstest,openboekexamen|vaardigheidstest,openboekexamen|vaardigheidstest
BACH,CBBIBI,2,1,C003361,4,Peter Vandamme|Xavier Saelens,bacteriële en virale structuur|groei en metabolisme|interacties met mensen|taxonomie|antibiotica|bacteriën|virussen,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
BACH,CBBIBI,2,1,C003362,4,Wim Declercq,moleculaire biologie|replicatie|transcriptie|translatie|prokaryoten,periodegebonden,schriftelijk examen met open vragen|mondeling examen,schriftelijk examen met open vragen|mondeling examen,
BACH,CBBIBI,2,1,C003364,3,Peter Vandamme|Geert Berx|Esther Hoste|Charlotte Peeters,microscopie|dissectie|steriele cultuur van micro-organismen en eukaryote cellijnen|histologie,niet-periodegebonden,,,schriftelijk examen|mondeling examen|werkstuk|vaardigheidstest|gedragsevaluatie op de werkvloer|verslag
BACH,CBBIBI,2,2,C000227,5,Dominique Van Der Straeten,water- en ionentransport|minerale voeding|fotosynthese|respiratie|stikstofmetabolisme|fotomorfogenese|plantenhormonen|bloeiinductie,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|mondeling examen,schriftelijk examen met open vragen|mondeling examen,schriftelijk examen met meerkeuzevragen|participatie|vaardigheidstest|verslag
BACH,CBBIBI,2,2,C002369,5,Dirk de Graaf,fysiologie|huid|spieren|zenuwen|zintuigen|hormonen|bloed|hart|lymfe|ademhaling|spijsvertering|excretie|voortplanting,periodegebonden|niet-periodegebonden,schriftelijk examen|mondeling examen,schriftelijk examen|mondeling examen,participatie|gedragsevaluatie op de werkvloer|verslag
BACH,CBBIBI,2,2,C003365,4,Bart Devreese,metabolisme,periodegebonden,schriftelijk examen met open vragen|mondeling examen,schriftelijk examen met open vragen|mondeling examen,
BACH,CBBIBI,2,2,C003366,4,Lieven De Veylder|Geert Berx,"restrictie-enzymen|modificatie-enzymen, opzuivering-scheiding-detectie-kwantificatie van dna en rna, plasmiden|klonering: mechanismen en vectoren,  mutagenese|dna sequenering|heterologe genexpressie bij prokaryoten",periodegebonden,schriftelijk examen met open vragen|mondeling examen,schriftelijk examen met open vragen|mondeling examen,
BACH,CBBIBI,2,2,C003367,4,Sofie Goormachtig,"genetische analyse in prokaryoten|mutatie|recombinatie|complementatie|conjugatie,  transductie|transformatie|transposons|genregulatie in prokaryoten",periodegebonden,schriftelijk examen,schriftelijk examen,
BACH,CBBIBI,2,2,C003379,4,Martin Guilliams,immunologie|inflammatie|moleculaire,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,CBBIBI,2,2,C003946,3,Wim Declercq|Bart Devreese|Bartel Vanholme,plasmiden als kloneringsvectoren|dna-isolatie|eiwit-zuivering|agarosegelelektroforese|sds- page|transformatie|conjugatie|plasmide stabiliteit|faag lambda|enzymatische activiteit|recombinant dna technologie|mutatie,niet-periodegebonden,,,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|participatie|gedragsevaluatie op de werkvloer|verslag
BACH,CBBIBI,3,1,C003369,4,Leander Meuris|Nico Callewaert,intermediair metabolisme|lipiden|aminozuren|nucleotiden|fotosynthese,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
BACH,CBBIBI,3,1,C003370,4,Rudi Beyaert,eukaryoten|chromatine|transcriptie|splicing|translatie|rna interferentie|genoom editing|regulatiemechanismen|replicatie|dna recombinatie|dna repair,periodegebonden,schriftelijk examen,schriftelijk examen,
BACH,CBBIBI,3,1,C003372,4,Wout Boerjan,genetica van eukaryoten|mendeliaanse overerving|extrachromosomale overerving|populatiegenetica|kwantitatieve genetica|stamboomgenetica|genetische interacties,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,CBBIBI,3,1,C003375,3,Wout Boerjan|Tom Beeckman|Inge De Clercq|Daniël Van Damme,genetica van eukaryoten|mendeliaanse overerving|voorwaartse en omgekeerde genetica|microscopie,niet-periodegebonden,,,schriftelijk examen|gedragsevaluatie op de werkvloer|verslag
BACH,CBBIBI,3,1,C003376,4,Peter Vandamme|Anne Willems,microbiële evolutie en systematiek|diagnostiek|epidemiologie|microbial forensics|functionele moleculaire microbiologie|metabolische diversiteit,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
BACH,CBBIBI,3,1,C004096,5,Roosmarijn Vandenbroucke|Lars Vereecke,geavanceerde microscopie|dierlijke transgenese|signalisatiecascaden|celcyclus|onco- en tumorsuppressorgenen|celdood|celdifferentiatie|stamcellen|celmigratie|celpolariteit,periodegebonden,schriftelijk examen,schriftelijk examen,
BACH,CBBIBI,3,2,C003378,4,Geert Berx|Geert De Jaeger,"eukaryoot|gentransfer|genexpressie, genknock-out/knock-down|recombinante eiwitproductie|genomics|transcriptomics",periodegebonden,schriftelijk examen met open vragen|mondeling examen,schriftelijk examen met open vragen|mondeling examen,
