Diploma,Opleiding,Jaar,Semester,Cursuscode,Studiepunten,Lesgevers,Trefwoorden,Evaluatiemomenten,Evaluatievormen PGE1,Evaluatievormen PGE2,Evaluatievormen NPGE
BACH,DBARTS,1,1,D000064,6,Sara Willems|Benedicte Deforche|Stéphanie De Maesschalck|Myriam Vervaet,"maatschappij|gezondheidspromotie|psychologie|sociologie, antropologie|diversiteit|mensenrechten",periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,participatie|werkstuk
BACH,DBARTS,1,1,D012571,6,Frederic Lynen|Klaus Bacher|Klaartje De Buysser,medische fysica|algemene en anorganische chemie|organische chemie|celbiologie,periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,
BACH,DBARTS,1,1,D012572,7,Luc Leybaert|Klaus Bacher|Jan Gettemans|Jolanda van Hengel,celbiologie|celfysiologie|celbiochemie|fysische basis van microscopie,periodegebonden,schriftelijk examen met meerkeuzevragen|openboekexamen,schriftelijk examen met meerkeuzevragen|openboekexamen,
BACH,DBARTS,1,1,D012573,6,Jan Gettemans|Frank Peelman,celbiochemie|energie|metabolisme|suikers|nucleotiden|lipiden,periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,
BACH,DBARTS,1,1,D013019,3,Pascal Coorevits|Guy Brusselle|Sara Willems,wetenschappelijk (kwalitatief en kwantitatief) onderzoek en inleiding tot medische statistiek,periodegebonden,schriftelijk examen,schriftelijk examen,
BACH,DBARTS,1,2,D000131,11,Katharina D'Herde|Emmanuel Audenaert|Klaus Bacher|David Creytens,myologie|biomechanica|arthrologie|histologie|anatomie van het locomotorisch systeem|embryologie|osteologie,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|mondeling examen
BACH,DBARTS,1,2,D012574,8,Sarah Gerlo|Bert Callewaert|Elfride De Baere|Björn Menten,dna|rna|eiwit|genoom|dna replicatie en herstel|transcriptie|translatie|mitose|meiose|mutatie|(mendeliaanse) overerving|multifactorieel|cytogenetica|erfelijke ziekte|celcyclus|apoptose|kanker|cel-cel communicatie|signaaltransductie|moleculair biologische technieken,periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,participatie
BACH,DBARTS,1,J,D013021,4,Sara Willems|Els Clays|Stéphanie De Maesschalck|Marie-Anne Vanderhasselt,groepswerk|literatuuronderzoek|schrijven van een paper|gezondheid en maatschappij,niet-periodegebonden,,,werkstuk|peer-evaluatie
BACH,DBARTS,1,J,D013025,5,Nele Van Den Noortgate|Frederic Acke|Tom Balthazar|Johan Decruyenaere|Ignaas Devisch|Jan Reniers,ethiek in de zorg|gezondheidsrecht|studium generale|professioneel gedrag (pg)|ouderenzorgstage,periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,portfolio|participatie|verslag
BACH,DBARTS,1,J,D013059,4,Marc Coppens|Emmanuel Audenaert|Katharina D'Herde|Peter Pype|Jan Reniers,"klinische vaardigheden i.v.m. het bewegingstelsel|ehbo en reanimatie (bls-pls-als-aed)|arts-patient communicatie|oppervlakteanatomie,  handhygiëne|acute wondzorg|manutentie",periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen|vaardigheidstest,schriftelijk examen met meerkeuzevragen|vaardigheidstest,mondeling examen|participatie
