Diploma,Opleiding,Jaar,Semester,Cursuscode,Studiepunten,Lesgevers,Trefwoorden,Evaluatiemomenten,Evaluatievormen PGE1,Evaluatievormen PGE2,Evaluatievormen NPGE
BACH,EB6INWEI,1,1,E610004,6,Eric Laermans|Oriana De Vos,complexe getallen|limieten|continuïteit|functies van één veranderlijke|vlakke meetkunde|vectoren|afgeleiden van r-r functies|parameterkrommen|poolkrommen|integralen,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,schriftelijk examen
BACH,EB6INWEI,1,1,E610014,6,Kurt Stockman|Ria Callens|Wesley Cottegnie|Isabel Sweertvaegher,elektrotechniek|elektrostatica|magnetisme|wisselstroomsystemen|elektrische netwerken.,periodegebonden|niet-periodegebonden,mondeling examen,mondeling examen,participatie|verslag
BACH,EB6INWEI,1,1,E610019,3,Geert De Clercq,materiaalkunde|structuur van materialen|materiaaleigenschappen|materiaaltechnologie|materiaalselectie,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,EB6INWEI,1,1,E610051,4,Olivier Rysman|Davy Parmentier,tekenconventies|woning|constructie|fundering|draagvloer|spouwmuur|hellend dak|planopbouw|grondplan|autocad|siemens nx|projectiesystemen|parametrische 3d cad|assembly modelling|technische tekening.,niet-periodegebonden,,,vaardigheidstest
BACH,EB6INWEI,1,1,I610008,6,Jan De Smet|Christophe Wille,scheidingstechnieken|ph|redox|buffers|stoichiometrie|oplossingen|oplosbaarheid.,periodegebonden|niet-periodegebonden,schriftelijk examen|mondeling examen,schriftelijk examen|mondeling examen,schriftelijk examen|gedragsevaluatie op de werkvloer|verslag
BACH,EB6INWEI,1,2,E610005,6,Pieter Audenaert|Oriana De Vos,ruimtemeetkunde|functies van meerdere veranderlijken|dubbelintegralen|differentiaalvergelijkingen|lineaire algebra,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,schriftelijk examen
BACH,EB6INWEI,1,2,E610016,6,Michael Monte|Ria Callens,fluïdostatica|warmteleer|trillingen en golven|geometrische en fysische optica,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,participatie|werkstuk
BACH,EB6INWEI,1,2,E610053,6,Jan Devos|Brecht Willems,programmeren|python|html|css|databanken|sql|computerwetenschappen (p170)|informatica (p175)|computertechnologie (t120).,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,participatie|vaardigheidstest
BACH,EB6INWEI,1,2,E610054,3,Jos Knockaert|Steve Dereyne|Jan Desmet,duurzame energie|hernieuwbare energie|energieproductie|energieverbruik.,periodegebonden,schriftelijk examen,schriftelijk examen,werkstuk
BACH,EB6INWEI,1,2,E610055,3,Sam Lemey|Brecht Willems,elektronica,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,schriftelijk examen|verslag
BACH,EB6INWEI,1,J,E610013,6,Michael Monte|Ria Callens,statica|kinematica|kinetica|wetten van newton|energie|kracht|moment|impuls|puntmassa|star lichaam,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
BACH,EB6INWEI,1,J,E610052,5,Kurt Stockman|Ria Callens|Simon De Boever|Steve Dereyne|Jan Detand|Michael Monte|Olivier Rysman|Steven Verstockt|Leen Pollefliet,cdio|projectwerk|schriftelijke en mondelinge presentaties.,niet-periodegebonden,,,werkstuk|peer-evaluatie|verslag
BACH,EB6INWEI,2,1,E620025,6,Eric Laermans,software|programmeren|object-georienteerd programmeren|proceduraal programmeren|generics programmeren|collecties,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,participatie|werkstuk|verslag
BACH,EB6INWEI,2,1,E620050,6,Steven Verstockt|Joeri Ruyssinck,datastructuren|algoritmen|complexiteit|efficiëntie|analyse|cryptografie|cryptologie|modulair rekenen,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,participatie|werkstuk|verslag
BACH,EB6INWEI,2,2,E620015,6,Francis wyffels,microcontroller|ingebedde systemen,niet-periodegebonden,,,mondeling examen|participatie|verslag
BACH,EB6INWEI,2,2,E620049,6,Jan Beyens|Wouter Gevaert|Tim Raeymaekers,analyse|fourier|laplace|systemen|transformaties,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,mondeling examen|verslag
BACH,EB6INWEI,2,2,E620051,6,Patrick Van Torre|Wesley Cottegnie|Brecht Willems|Jos Knockaert,pcb ontwerp|operationele versterkers|overgangsverschijnselen en regiemeantwoord in elektrische netwerken|netwerkstellingen|schakelende vermogenomzetters zoals buck|buck- boost|boost|ad en da interfacing|synchrone logica|geheugens|fpga,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,mondeling examen|verslag
BACH,EB6INWEI,3,1,E630001,6,Ludo Poelaert,boekhouden kostprijscalculatie dubbel boekhouden productie logistiek economie micro-economie,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|mondeling examen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|mondeling examen,werkstuk|vaardigheidstest
BACH,EB6INWEI,3,1,E630014,6,Johan Beke,ingebedde systemen|hardware beschrijven|vhdl,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,mondeling examen|verslag
BACH,EB6INWEI,3,1,E630023,6,Kurt Stockman|Simon De Boever,pid|systeemmodellen|gesloten lus regeling|poolbaanmethode|bodekarakteristiek|implementatie van regelaars,periodegebonden|niet-periodegebonden,mondeling examen,mondeling examen,verslag
BACH,EB6INWEI,3,1,E630044,6,Bruno Volckaert,polymorfisme|design patronen|grafische interfaces|programmeren|java,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,participatie|werkstuk|verslag
BACH,EB6INWEI,3,1,E630098,6,Steven Verstockt,informatietheorie|compressie|standaarden|multimedia|video|beeld|audio|digitale beeldverwerking en -verbetering|computervisie.,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,participatie|werkstuk|verslag
BACH,EB6INWEI,3,2,E630017,6,Sofie Van Hoecke|Andy Van Maele,computernetwerken|internet|osi,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,participatie|werkstuk
BACH,EB6INWEI,3,2,E630043,3,Jan Devos,"symmetrische versleuteling (des|3des|aes|rc4)|asymmetrische versleuteling (rsa|ecc)|pki|internetbeveiliging|netwerkbeveiliging|digitale en elektronische handtekening|sleutelmanagement|biometrie|toegangscontrole,  netwerkbeveiliging|privacy|hacking|kwaadaardige software.",periodegebonden|niet-periodegebonden,mondeling examen,mondeling examen,participatie|werkstuk|verslag
BACH,EB6INWEI,3,2,E630064,6,Johan Beke,vakoverschrijdend project|interdisciplinair|onderzoeksvaardigheden,niet-periodegebonden,,,mondeling examen|portfolio|participatie|werkstuk
BACH,EB6INWEI,3,2,E630083,3,Johan Beke,multithreading|coprocessor|parallel verwerking|uma|numa|geheugenbeheer,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,mondeling examen|verslag
BACH,EB6INWEI,3,2,E630084,6,Steven Verstockt|Sofie Van Hoecke,webtoepassingen|webservers|scripting|mysql,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,portfolio|werkstuk|verslag
BACH,EB6INWEI,3,2,E640063,3,Peter Lambert|Ignace Saenen|Glenn Van Wallendael,gpu|c++|parallelle programmering|visualisatie|video games,niet-periodegebonden,,,werkstuk|vaardigheidstest
BACH,EB6INWEI,3,2,E690005,3,Bruno Volckaert,softwareprocessen|softwaremethoden|softwareproject|risk management|change management|people management|project management,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,verslag
BACH,EB6INWEM,1,1,E610004,6,Eric Laermans|Oriana De Vos,complexe getallen|limieten|continuïteit|functies van één veranderlijke|vlakke meetkunde|vectoren|afgeleiden van r-r functies|parameterkrommen|poolkrommen|integralen,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,schriftelijk examen
BACH,EB6INWEM,1,1,E610014,6,Kurt Stockman|Ria Callens|Wesley Cottegnie|Isabel Sweertvaegher,elektrotechniek|elektrostatica|magnetisme|wisselstroomsystemen|elektrische netwerken.,periodegebonden|niet-periodegebonden,mondeling examen,mondeling examen,participatie|verslag
BACH,EB6INWEM,1,1,E610019,3,Geert De Clercq,materiaalkunde|structuur van materialen|materiaaleigenschappen|materiaaltechnologie|materiaalselectie,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,EB6INWEM,1,1,E610051,4,Olivier Rysman|Davy Parmentier,tekenconventies|woning|constructie|fundering|draagvloer|spouwmuur|hellend dak|planopbouw|grondplan|autocad|siemens nx|projectiesystemen|parametrische 3d cad|assembly modelling|technische tekening.,niet-periodegebonden,,,vaardigheidstest
BACH,EB6INWEM,1,1,I610008,6,Jan De Smet|Christophe Wille,scheidingstechnieken|ph|redox|buffers|stoichiometrie|oplossingen|oplosbaarheid.,periodegebonden|niet-periodegebonden,schriftelijk examen|mondeling examen,schriftelijk examen|mondeling examen,schriftelijk examen|gedragsevaluatie op de werkvloer|verslag
BACH,EB6INWEM,1,2,E610005,6,Pieter Audenaert|Oriana De Vos,ruimtemeetkunde|functies van meerdere veranderlijken|dubbelintegralen|differentiaalvergelijkingen|lineaire algebra,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,schriftelijk examen
BACH,EB6INWEM,1,2,E610016,6,Michael Monte|Ria Callens,fluïdostatica|warmteleer|trillingen en golven|geometrische en fysische optica,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,participatie|werkstuk
BACH,EB6INWEM,1,2,E610053,6,Jan Devos|Brecht Willems,programmeren|python|html|css|databanken|sql|computerwetenschappen (p170)|informatica (p175)|computertechnologie (t120).,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,participatie|vaardigheidstest
BACH,EB6INWEM,1,2,E610054,3,Jos Knockaert|Steve Dereyne|Jan Desmet,duurzame energie|hernieuwbare energie|energieproductie|energieverbruik.,periodegebonden,schriftelijk examen,schriftelijk examen,werkstuk
BACH,EB6INWEM,1,2,E610055,3,Sam Lemey|Brecht Willems,elektronica,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,schriftelijk examen|verslag
BACH,EB6INWEM,1,J,E610013,6,Michael Monte|Ria Callens,statica|kinematica|kinetica|wetten van newton|energie|kracht|moment|impuls|puntmassa|star lichaam,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
BACH,EB6INWEM,1,J,E610052,5,Kurt Stockman|Ria Callens|Simon De Boever|Steve Dereyne|Jan Detand|Michael Monte|Olivier Rysman|Steven Verstockt|Leen Pollefliet,cdio|projectwerk|schriftelijke en mondelinge presentaties.,niet-periodegebonden,,,werkstuk|peer-evaluatie|verslag
BACH,EB6INWEM,3,1,E630001,6,Ludo Poelaert,boekhouden kostprijscalculatie dubbel boekhouden productie logistiek economie micro-economie,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|mondeling examen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|mondeling examen,werkstuk|vaardigheidstest
BACH,EB6INWMP,1,1,E610004,6,Eric Laermans|Oriana De Vos,complexe getallen|limieten|continuïteit|functies van één veranderlijke|vlakke meetkunde|vectoren|afgeleiden van r-r functies|parameterkrommen|poolkrommen|integralen,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,schriftelijk examen
BACH,EB6INWMP,1,1,E610014,6,Kurt Stockman|Ria Callens|Wesley Cottegnie|Isabel Sweertvaegher,elektrotechniek|elektrostatica|magnetisme|wisselstroomsystemen|elektrische netwerken.,periodegebonden|niet-periodegebonden,mondeling examen,mondeling examen,participatie|verslag
BACH,EB6INWMP,1,1,E610019,3,Geert De Clercq,materiaalkunde|structuur van materialen|materiaaleigenschappen|materiaaltechnologie|materiaalselectie,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,EB6INWMP,1,1,E610051,4,Olivier Rysman|Davy Parmentier,tekenconventies|woning|constructie|fundering|draagvloer|spouwmuur|hellend dak|planopbouw|grondplan|autocad|siemens nx|projectiesystemen|parametrische 3d cad|assembly modelling|technische tekening.,niet-periodegebonden,,,vaardigheidstest
BACH,EB6INWMP,1,1,I610008,6,Jan De Smet|Christophe Wille,scheidingstechnieken|ph|redox|buffers|stoichiometrie|oplossingen|oplosbaarheid.,periodegebonden|niet-periodegebonden,schriftelijk examen|mondeling examen,schriftelijk examen|mondeling examen,schriftelijk examen|gedragsevaluatie op de werkvloer|verslag
BACH,EB6INWMP,1,2,E610005,6,Pieter Audenaert|Oriana De Vos,ruimtemeetkunde|functies van meerdere veranderlijken|dubbelintegralen|differentiaalvergelijkingen|lineaire algebra,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,schriftelijk examen
BACH,EB6INWMP,1,2,E610016,6,Michael Monte|Ria Callens,fluïdostatica|warmteleer|trillingen en golven|geometrische en fysische optica,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,participatie|werkstuk
