Diploma,Opleiding,Jaar,Semester,Cursuscode,Studiepunten,Lesgevers,Trefwoorden,Evaluatiemomenten,Evaluatievormen PGE1,Evaluatievormen PGE2,Evaluatievormen NPGE
BACH,FB7BKM,1,1,F700002,6,Ellen Wayenberg,overheidsbeleid|beleidsinhoud en -proces|beleidstrends en -ontwikkelingen,periodegebonden,schriftelijk examen,schriftelijk examen,
BACH,FB7BKM,1,1,F710340,6,Bram Verschuere,overheid en publieke sector|bureaucratie en nieuw publiek management|bestuurlijke organisatie en processen|verhouding ambtenaren – politici|relatie burger – bestuur,periodegebonden,schriftelijk examen,schriftelijk examen,
BACH,FB7BKM,1,1,F710342,3,Stijn Goeminne,algemene economische concepten|micro-economie|marginale veranderingen|vraag & aanbod|gezinnen|bedrijven|marktvormen.,periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,
BACH,FB7BKM,1,1,F710345,5,Len Lemeire|Els Clarysse|Greet Maes,"informatica,strategische inzetbaarheid van ict|computergebruik|rekenblad|databank|ms excel|ms access.",periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,vaardigheidstest
BACH,FB7BKM,1,1,F710346,4,Frank Caestecker,geschiedenis van de staat|geschiedenis van de hedendaagse maatschappij|geschiedenis van belgië.,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,werkstuk
BACH,FB7BKM,1,1,K000095,6,Carl Devos|Nicolas Bouteca,introductie in politieke wetenschappen|kennismaking met|inleiding tot politicologie,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,FB7BKM,1,2,F710271,3,Alex Vanderstraeten,algemene sociologie|sociale systeemtheorie|organisatiesociologie|sociologische theorieën,periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,
BACH,FB7BKM,1,2,F710343,3,Bart Defloor,macro-economie|bruto binnenlands product|arbeidsmarkt|werkloosheid|geldmarkt|kapitaalmarkt|geldhoeveelheid|intrestvoet|inflatie|consumentenprijsindices|stabilisatiebeleid|monetair beleid|budgettair beleid|wisselkoers|conjunctuur|betalingsbalans.,periodegebonden,schriftelijk examen,schriftelijk examen,
BACH,FB7BKM,1,2,F710362,5,Stijn Baert|Michiel Beelaerts|Véronique Vanderhoudelingen,onderzoeksmotivatie|onderzoeksvraag|theorievorming|dataverzameling|kwantitatieve analyse|kwalitatieve analyse|rapportering|statistiek|informatievaardigheden|schrijfvaardigheden,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,verslag
BACH,FB7BKM,1,2,F710378,5,Sebastian Desmidt,plannen|organiseren|leidinggeven|controleren|management|functionele managementdomeinen.,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,werkstuk
