Diploma,Opleiding,Jaar,Semester,Cursuscode,Studiepunten,Lesgevers,Trefwoorden,Evaluatiemomenten,Evaluatievormen PGE1,Evaluatievormen PGE2,Evaluatievormen NPGE
BACH,GBDIER,1,1,G000710,5,Isabel Van Driessche|Leon Bergmans|Kristof Van Hecke,chemie|algemeen|basisconcepten,periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,
BACH,GBDIER,1,1,G000711,6,Klaus Bacher|Jimmy Saunders,medische fysica|medische beeldvorming|radioprotectie,periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,participatie|gedragsevaluatie op de werkvloer|verslag
BACH,GBDIER,1,1,G000712,5,Luc Duchateau,kansrekenen|diagnostiek |t-test|anova|proefopzet|blokkenproef|lineaire en logistische regressie|mathematische modellen|web of science en opzoeken literatuur,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,peer-evaluatie|verslag
BACH,GBDIER,1,1,G000713,7,Wim Van Den Broeck|Ward De Spiegelaere,opbouw van cellen en weefsels|structuur-functie relatie|microscopie,periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,participatie|vaardigheidstest
BACH,GBDIER,1,2,G000714,6,Niek Sanders|Evelyne Meyer,"bio-organische chemie|organische structuren|organische reacties|biomoleculen (eiwitten en enzymen, suikers, nucleinezuren en vetten)|diergeneeskunde",periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,GBDIER,1,2,G000715,6,Pieter Cornillie,embryologie|huisdieren|organogenese|placentatie|afwijkende ontwikkeling,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,portfolio|participatie
BACH,GBDIER,1,2,G000716,8,Christel Moons|Machteld van Dierendonck|Ann Van Soom,•  ethologie|omgang met dieren|ethiek. •  huisdieren|rassen|exterieur,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,werkstuk
BACH,GBDIER,1,2,G000717,4,Jeroen Dewulf,epidemiologie: veterinaire epidemiologie|epidemiologische studies|ziekte frequentiematen|ziektetransmissie|risicofactoren|causaliteit|bias|maatstaven voor associatie|maatstaven voor effect|diagnostiek|one health|risico analyse. economie van de diergezondheidszorg: economische productiefunctie|kosten- en batenanalyse van landbouwbedrijven|vraag en aanbod van voedingsproducten|prijsvorming|economisch en maatschappelijk belang van dieren en dierlijke producten|economie van diergezondheid en reproductie|economie van epidemische en endemische dierziekten,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,portfolio
BACH,GBDIER,1,J,G000718,13,Pieter Cornillie|Ward De Spiegelaere,beschrijvende anatomie|vergelijkende anatomie|evolutie|gewervelden|diversiteit,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,mondeling examen|participatie|verslag
BACH,GBDIER,2,1,G000719,5,Evelyne Meyer|Jonas Steenbrugge,algemene biochemie|huisdieren,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,participatie|werkstuk|vaardigheidstest|verslag
