Diploma,Opleiding,Jaar,Semester,Cursuscode,Studiepunten,Lesgevers,Trefwoorden,Evaluatiemomenten,Evaluatievormen PGE1,Evaluatievormen PGE2,Evaluatievormen NPGE

BACH,IB6BIW,1,1,E610014,6,Kurt Stockman|Ria Callens|Wesley Cottegnie|Isabel Sweertvaegher,elektrotechniek|elektrostatica|magnetisme|wisselstroomsystemen|elektrische netwerken.,periodegebonden|niet-periodegebonden,mondeling examen,mondeling examen,participatie|verslag

BACH,IB6BIW,1,1,E610019,3,Geert De Clercq,materiaalkunde|structuur van materialen|materiaaleigenschappen|materiaaltechnologie|materiaalselectie,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,

BACH,IB6BIW,1,1,I610003,6,Jan De Smet|Christophe Wille,prokaryoten|eukaryoten|bacteriën|metabolisme|genetica|microbiologie.,periodegebonden|niet-periodegebonden,schriftelijk examen|mondeling examen,schriftelijk examen|mondeling examen,participatie|gedragsevaluatie op de werkvloer|verslag

BACH,IB6BIW,1,1,I610008,6,Jan De Smet|Christophe Wille,scheidingstechnieken|ph|redox|buffers|stoichiometrie|oplossingen|oplosbaarheid.,periodegebonden|niet-periodegebonden,schriftelijk examen|mondeling examen,schriftelijk examen|mondeling examen,schriftelijk examen|gedragsevaluatie op de werkvloer|verslag

BACH,IB6BIW,1,1,I610018,6,Jan Baetens,verzamelingen|vectoren|functies|continuïteit en limieten|afleiden|integreren|taylor-reeksen|functies van één veranderlijke|functies van meerdere veranderlijken|meervoudige integratie|mathematica|python,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,

BACH,IB6BIW,1,2,E610016,6,Michael Monte|Ria Callens,fluïdostatica|warmteleer|trillingen en golven|geometrische en fysische optica,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,participatie|werkstuk

BACH,IB6BIW,1,2,E610055,3,Sam Lemey|Brecht Willems,elektronica,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,schriftelijk examen|verslag

BACH,IB6BIW,1,2,I610014,3,Ann Dumoulin|Caroline Vandenbussche,analytische toepassingen van chemische evenwichten|titrimetrie|gravimetrie|elektroanalytische methoden.,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|mondeling examen,schriftelijk examen met open vragen|mondeling examen,schriftelijk examen|participatie|werkstuk|vaardigheidstest|gedragsevaluatie op de werkvloer|verslag

BACH,IB6BIW,1,2,I610015,3,Diederik Rousseau|Francesca Ostuzzi,circulaire economie|biogebaseerde economie|hernieuwbare grondstoffen|cleantech|product- service systemen.,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,werkstuk|peer-evaluatie|verslag

BACH,IB6BIW,1,2,I610016,4,Christophe Wille,functionele groepen|organische verbindingen|reactiviteit|synthese en reactiemechanismen|nomenclatuur.,periodegebonden|niet-periodegebonden,schriftelijk examen|mondeling examen,schriftelijk examen|mondeling examen,gedragsevaluatie op de werkvloer|verslag

BACH,IB6BIW,1,2,I610017,3,Christophe Wille|Imca Sampers,virologie|systematiek.,periodegebonden|niet-periodegebonden,schriftelijk examen|mondeling examen,schriftelijk examen|mondeling examen,participatie|gedragsevaluatie op de werkvloer|verslag

BACH,IB6BIW,1,2,I610019,6,Willem Waegeman|Jan Baetens|Elena Torfs,"lineaire algebra|differentiaalvergelijkingen|analytische methodes|numerieke methodes,  evenwichtspunten|stabiliteit|laplace transformatie",periodegebonden,schriftelijk examen,schriftelijk examen,

BACH,IB6BIW,1,J,E610013,6,Michael Monte|Ria Callens,statica|kinematica|kinetica|wetten van newton|energie|kracht|moment|impuls|puntmassa|star lichaam,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,

BACH,IB6BIW,2,1,E620032,6,Bruno Vanslambrouck|Martijn van den Broek,hydrostatica|fluïdomechanica|stroming in buizen|leidingsystemen|pompen|warmteoverdracht|thermodynamica|kringprocessen|stoom|vochtige lucht,periodegebonden,schriftelijk examen,schriftelijk examen,

BACH,IB6BIW,2,1,I610012,6,Jan De Smet|Christophe Wille,enzymen|metabolisme|glycolyse|krebscyclus|oxidatieve fosforylering|fotosynthese|lipidemetabolisme|verbruik van atp.,periodegebonden|niet-periodegebonden,schriftelijk examen|mondeling examen,schriftelijk examen|mondeling examen,participatie|gedragsevaluatie op de werkvloer|verslag

BACH,IB6BIW,2,1,I620015,6,Stijn Van Hulle|Joël Hogie,kans(dichtheids)functies|verklarende statistiek|statistische toetsen|enkelvoudige regressie|anova|statistisch proefopzet.,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|openboekexamen,schriftelijk examen met open vragen|openboekexamen,werkstuk

BACH,IB6BIW,2,1,I620017,3,Ann Dumoulin|Yannick Verheust,atoomspectroscopie|aas|aes|molecuulspectroscopie|uv/vis-spectroscopie|fluorescentie|ir-spectroscopie.,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|mondeling examen,schriftelijk examen met open vragen|mondeling examen,mondeling examen|vaardigheidstest|gedragsevaluatie op de werkvloer|verslag

