Diploma,Opleiding,Jaar,Semester,Cursuscode,Studiepunten,Lesgevers,Trefwoorden,Evaluatiemomenten,Evaluatievormen PGE1,Evaluatievormen PGE2,Evaluatievormen NPGE
BACH,JBFAWE,1,1,J000478,8,Isabel Van Driessche,stoichiometrie|atoommodel|ionaire en moleculaire bestanddelen||lewisstructuur|vsepr|vb- en mo-theorie|isomerie|intermoleculaire krachten|toestandsdiagram|oplossingen|hydrofobe en hydrofiele bestanddelen|concentratie|colligatieve eigenschappen|destillatie|zuren en basen|oxidantia en reductantie|chemische reacties|chemisch evenwicht|zuur-base evenwichten in waterige oplossingen|oplosbaarheid|kinetiek|thermodynamica|electrochemie.,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,JBFAWE,1,1,J000481,4,David Vyncke,wiskunde,periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,peer-evaluatie
BACH,JBFAWE,1,1,J000483,5,Lies Lahousse|Lisl De Vilder|Celine Jacobs|GUY LAUREYS|Sylvie Rottey,fysiologie|pathofysiologie|ziekteleer|anatomie|organen|lichaamssystemen|alarmsymptomen|storingen in fysiologische processen|aangrijpingspunten van geneesmiddelen|preventie en zelfzorg.,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,JBFAWE,1,1,J000485,3,Ann Huysseune,eukaryote cellen|celbiologie|histologie|orgaanstelsels.,periodegebonden,schriftelijk examen,schriftelijk examen,
BACH,JBFAWE,1,1,J000486,3,Luc Pieters,plantkunde|geneesmiddelen|secundaire metabolieten|natuurproducten,periodegebonden,schriftelijk examen,schriftelijk examen,
BACH,JBFAWE,1,1,J000487,3,Ann Huysseune|Lars Chatrou|Annemieke Verbeken,ten gevolge van de coronacrisis zal/ zullen voor het aj 20-21 eenmalig volgende aanpassing (en) gebeuren: eukaryote cellen|histologie|dierlijke anatomie.,niet-periodegebonden,,,schriftelijk examen met open vragen|verslag
BACH,JBFAWE,1,2,J000477,8,Annemieke Madder,organische moleculen/ structuur / reactiviteit,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
BACH,JBFAWE,1,2,J000479,4,Filip De Vos,farmaceutische analyse|kwantitatieve bepaling|analytische chemie,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
BACH,JBFAWE,1,2,J000480,4,Annemieke Madder|Martijn Risseeuw|Filip De Vos|Isabel Van Driessche,laboratoriumvaardigheden|veiligheid in een labo-omgeving|correct experimenten uitvoeren en rapporteren|synthese|zuivering en analyse van geneesmiddelen,niet-periodegebonden,,,participatie|vaardigheidstest|gedragsevaluatie op de werkvloer
BACH,JBFAWE,1,2,J000482,6,Dirk Poelman|Philippe Smet,algemene fysica|mechanica|thermodynamica|elektriciteit|optica|radioactiviteit.,periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,participatie
BACH,JBFAWE,1,2,J000484,3,Lies Lahousse|Lisl De Vilder|Ine Moors|Roel De Ridder|Tessa Kerre|HILDE LAPEERE,fysiologie|pathofysiologie|ziekteleer|anatomie|organen|lichaamssystemen|alarmsymptomen|storingen in fysiologische processen|aangrijpingspunten van geneesmiddelen|preventie en zelfzorg.,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,JBFAWE,1,2,J000488,3,Chris Vervaet,geneesmiddelontwikkeling,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,JBFAWE,1,J,J000489,3,Valérie Vanhoorne,maatschappij|organisatie en financiering gezondheidszorg|geneesmiddelenontwikkeling|reflectie|professionele ontwikkeling,niet-periodegebonden,,,portfolio|participatie|werkstuk
BACH,JBFAWE,1,J,J000490,3,Aurélie Crabbé,wetenschapsfilosofie|fundamenteel en toegepast wetenschappelijk onderzoek|valorisatie|wetenschappelijk falen en integriteit|wetenschappelijke literatuur.,niet-periodegebonden,,,participatie|werkstuk|verslag
MABA,JMFAZO,1,1,J000422,6,Dieter Deforce|Filip Van Nieuwerburgh,biotechnologie|dna|rna|chromosoom|eiwitsynthese|pcr|recombinant dna en eiwitten|monoclonale antilichamen|farmaco-genomics-proteomics|vaccins.,periodegebonden|niet-periodegebonden,schriftelijk examen,mondeling examen,mondeling examen|participatie|werkstuk|gedragsevaluatie op de werkvloer|verslag
MABA,JMFAZO,1,1,J000423,3,Dieter Deforce,immuniteit|auto-immuunziektes|immunogeniciteit|vaccins|immunofarmaca|cytokines,periodegebonden,mondeling examen,mondeling examen,
MABA,JMFAZO,1,1,J000424,3,Guy Brusselle,studie design|klinische studies|clinical trials|methodologie van klinisch wetenschappelijk onderzoek|kritisch omgaan met (bio)medische informatie.,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
MABA,JMFAZO,1,1,J000425,6,Koen Boussery|Lisl De Vilder|Thierry Christiaens,rationeel gebruik van geneesmiddelen|op evidentie gebaseerde farmaceutische zorg|op evidentie gebaseerde farmacotherapie|medicatiebewaking|medicatiebegeleiding|consultvoering|zelfzorg.,periodegebonden,schriftelijk examen,schriftelijk examen,
MABA,JMFAZO,1,1,J000426,3,Tom Coenye|Barbara Claus,antibiotica|antimicrobiële therapie|resistentie|microbiologie|bacteriologie|infecties|pk/pd van antibiotica,periodegebonden,schriftelijk examen,schriftelijk examen,
