Diploma,Opleiding,Jaar,Semester,Cursuscode,Studiepunten,Lesgevers,Trefwoorden,Evaluatiemomenten,Evaluatievormen PGE1,Evaluatievormen PGE2,Evaluatievormen NPGE
BACH,KBCOMM,3,J,K001158,7,Ini Vanwesenbeeck|Emma Beuckels,onderzoekstypes|methoden van sociaal wetenschappelijk onderzoek|literatuurstudie|probleemstelling|onderzoeksdesign.,periodegebonden,mondeling examen|werkstuk,mondeling examen|werkstuk,
BACH,KBSOSCCS,1,1,K001114,6,Jannick Demanet,institutionalization culture structure stratification deviation social change,periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,
BACH,KBSOSCCS,1,1,K001115,6,Silvia Erzeel,VUB,,,,
BACH,KBSOSCCS,1,1,K001116,6,Jan Loisen,VUB,,,,
BACH,KBSOSCCS,1,1,K001120,6,Pieter-Paul Verhaeghe,VUB,,,,
BACH,KBSOSCCS,1,1,K001122,6,Christopher Parker,"""the writing process""|process of inquiry|critical thinking|exposition|argument|active learning|philosophy of science",periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,werkstuk
BACH,KBSOSCCS,1,2,K001117,6,Eline Severs,VUB,,,,
BACH,KBSOSCCS,1,2,K001119,6,Dave Sinardet,VUB,,,,
BACH,KBSOSCCS,1,2,K001121,6,Gino Verleye,-  methods -  social science,periodegebonden,schriftelijk examen,schriftelijk examen,
BACH,KBSOSCCS,1,2,K001123,6,Jan Loisen,VUB,,,,
BACH,KBSOSCCS,1,2,K001323,6,Sami Zemni,politieke stromingen sinds ontstaan van het modern wereldsysteem tot heden|startendin de kernlanden van europa en in de 20ste eeuw|uitdeinend tot de wereld.,periodegebonden,schriftelijk examen met open vragen,,
BACH,KBSOSCCS,2,1,K001124,6,Dieter Vandebroeck,VUB,,,,
BACH,KBSOSCCS,2,1,K001125,6,Christopher Parker,politics|critical thinking|government|liberalism|calculative reason|historical reason|alienation|dialectical method|genealogical method|critical theory|state|market|political ecology.,periodegebonden,schriftelijk examen,schriftelijk examen,
BACH,KBSOSCCS,2,1,K001126,6,Pascal Verhoest,VUB,,,,
BACH,KBSOSCCS,2,1,K001127,6,Jonathan Holslag,VUB,,,,
BACH,KBSOSCCS,2,1,K001131,6,Jannick Demanet,,periodegebonden,schriftelijk examen,schriftelijk examen,
BACH,KBSOSCCS,2,2,K001129,6,Mattias Vermeiren,,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,werkstuk
BACH,KBSOSCCS,2,2,K001130,5,Frederik Dhaenens,mediastudies|mediatheorie|culturele studies|diversiteit|identiteit|populaire cultuur,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,participatie|werkstuk|peer-evaluatie
BACH,KBSOSCCS,2,2,K001132,6,Peter Stevens,kwalitatieve onderzoekstechnieken|kwalitatief onderzoeksproces|wetenschapsfilosofische uitgangspunten|kwalitatieve interviews|discours analyse|focusgroepen|etnografie en (participerende) observatie|kwalitatieve data-analyse en ethische issues in kwalitatief onderzoek.,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,werkstuk|peer-evaluatie
BACH,KBSOSCCS,2,2,K001133,6,Dieter Vandebroeck,VUB,,,,
BACH,KBSOSCCS,2,2,K001247,6,Pieter-Paul Verhaeghe,VUB,,,,
BACH,KBSOSCCS,3,1,K001182,5,Koen Ponnet|Ini Vanwesenbeeck,media psychologie|media sociologie|social media|adolescenten,periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,
BACH,KBSOSCCS,3,1,K001188,5,Sander De Ridder,cultural media studies|media theory|popular culture.,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,participatie|werkstuk|verslag
BACH,KBSOSCCS,3,1,K001248,5,Frederik Dhaenens|Sarah Van Leuven,inhoudsanalyse|tekstuele analyse|onderzoeksmethoden|media- en communicatietheorie,niet-periodegebonden,,,participatie|werkstuk|peer-evaluatie
BACH,KBSOSCCS,3,1,K001327,6,Tim Raats,VUB,,,,
BACH,KBSOSCCS,3,2,K001198,6,Frederik Dhaenens,geschiedenis van media en communicatie|mediastudies en communicatiewetenschappen|kritische perspectieven,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
BACH,KBSOSCCS,3,2,K001200,6,Leo Van Audenhove,VUB,,,,
BACH,KBSOSCCS,3,2,K001249,6,Wendy Van Den Broeck,VUB,,,,
BACH,KBSOSCCS,3,J,K001154,12,,VUB,,,,
BACH,KBSOSCPS,1,1,K001114,6,Jannick Demanet,institutionalization culture structure stratification deviation social change,periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,
BACH,KBSOSCPS,1,1,K001115,6,Silvia Erzeel,VUB,,,,
BACH,KBSOSCPS,1,1,K001116,6,Jan Loisen,VUB,,,,
BACH,KBSOSCPS,1,1,K001120,6,Pieter-Paul Verhaeghe,VUB,,,,
BACH,KBSOSCPS,1,1,K001122,6,Christopher Parker,"""the writing process""|process of inquiry|critical thinking|exposition|argument|active learning|philosophy of science",periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,werkstuk
BACH,KBSOSCPS,1,2,K001117,6,Eline Severs,VUB,,,,
BACH,KBSOSCPS,1,2,K001119,6,Dave Sinardet,VUB,,,,
BACH,KBSOSCPS,1,2,K001121,6,Gino Verleye,-  methods -  social science,periodegebonden,schriftelijk examen,schriftelijk examen,
BACH,KBSOSCPS,1,2,K001123,6,Jan Loisen,VUB,,,,
BACH,KBSOSCPS,1,2,K001323,6,Sami Zemni,politieke stromingen sinds ontstaan van het modern wereldsysteem tot heden|startendin de kernlanden van europa en in de 20ste eeuw|uitdeinend tot de wereld.,periodegebonden,schriftelijk examen met open vragen,,
BACH,KBSOSCPS,2,1,K001124,6,Dieter Vandebroeck,VUB,,,,
BACH,KBSOSCPS,2,1,K001125,6,Christopher Parker,politics|critical thinking|government|liberalism|calculative reason|historical reason|alienation|dialectical method|genealogical method|critical theory|state|market|political ecology.,periodegebonden,schriftelijk examen,schriftelijk examen,
BACH,KBSOSCPS,2,1,K001126,6,Pascal Verhoest,VUB,,,,
BACH,KBSOSCPS,2,1,K001127,6,Jonathan Holslag,VUB,,,,
BACH,KBSOSCPS,2,1,K001131,6,Jannick Demanet,,periodegebonden,schriftelijk examen,schriftelijk examen,
BACH,KBSOSCPS,2,2,K001129,6,Mattias Vermeiren,,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,werkstuk
BACH,KBSOSCPS,2,2,K001130,5,Frederik Dhaenens,mediastudies|mediatheorie|culturele studies|diversiteit|identiteit|populaire cultuur,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,participatie|werkstuk|peer-evaluatie
BACH,KBSOSCPS,2,2,K001132,6,Peter Stevens,kwalitatieve onderzoekstechnieken|kwalitatief onderzoeksproces|wetenschapsfilosofische uitgangspunten|kwalitatieve interviews|discours analyse|focusgroepen|etnografie en (participerende) observatie|kwalitatieve data-analyse en ethische issues in kwalitatief onderzoek.,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,werkstuk|peer-evaluatie
BACH,KBSOSCPS,2,2,K001133,6,Dieter Vandebroeck,VUB,,,,
BACH,KBSOSCPS,2,2,K001247,6,Pieter-Paul Verhaeghe,VUB,,,,
BACH,KBSOSCPS,3,1,K001118,6,Alexander Mattelaer,VUB,periodegebonden,,,
BACH,KBSOSCPS,3,1,K001203,6,Koenraad Bogaert,globalization|colonization|decolonization|global south|eurocentrism|imperialism|capitalism|uneven development|racism|triangular trade|free-trade|class|violence|power|black atlantic humanism,niet-periodegebonden,,schriftelijk examen met open vragen|werkstuk,participatie|werkstuk|verslag
BACH,KBSOSCPS,3,1,K001250,6,Jonathan Holslag,VUB,,,,
BACH,KBSOSCPS,3,1,K001255,6,Karen Büscher,ethnography|methods|participant observation|anthropology|the state|violence,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,participatie|werkstuk
