cursuscode,cursusnaam
ABAFRI,Bachelor of Arts in de Afrikaanse talen en culturen
ABARCH,Bachelor of Arts in de archeologie
ABSHIE,Bachelor of Arts in de geschiedenis
ABKUNS,Bachelor of Arts in de kunstwetenschappen
ABMORA,Bachelor of Arts in de moraalwetenschappen
ABOOTCAI,Bachelor of Arts in de Oosterse talen en culturen - afstudeerrichting Arabistiek en islamkunde
ABOOTCCC,Bachelor of Arts in de Oosterse talen en culturen - afstudeerrichting China (China-traject)
ABOOTCCU,Bachelor of Arts in de Oosterse talen en culturen - afstudeerrichting China (UGent-traject)
ABOOTCIN,Bachelor of Arts in de Oosterse talen en culturen - afstudeerrichting India
ABOOTCJA,Bachelor of Arts in de Oosterse talen en culturen - afstudeerrichting Japan
ABSLAV,Bachelor of Arts in de Oost-Europese talen en culturen
ABTALKDG,Bachelor of Arts in de taal- en letterkunde - talencombinatie Duits - Grieks
ABTALKDI,Bachelor of Arts in de taal- en letterkunde - talencombinatie Duits - Italiaans
ABTALKDS,Bachelor of Arts in de taal- en letterkunde - talencombinatie Duits - Spaans
ABTALKDZ,Bachelor of Arts in de taal- en letterkunde - talencombinatie Duits - Zweeds
ABTALKED,Bachelor of Arts in de taal- en letterkunde - talencombinatie Engels - Duits
ABTALKEG,Bachelor of Arts in de taal- en letterkunde - talencombinatie Engels - Grieks
ABTALKEI,Bachelor of Arts in de taal- en letterkunde - talencombinatie Engels - Italiaans
ABTALKEL,Bachelor of Arts in de taal- en letterkunde - talencombinatie Engels - Latijn
ABTALKES,Bachelor of Arts in de taal- en letterkunde - talencombinatie Engels - Spaans
ABTALKEZ,Bachelor of Arts in de taal- en letterkunde - talencombinatie Engels - Zweeds
ABTALKFD,Bachelor of Arts in de taal- en letterkunde - talencombinatie Frans - Duits
ABTALKFE,Bachelor of Arts in de taal- en letterkunde - talencombinatie Frans - Engels
ABTALKFG,Bachelor of Arts in de taal- en letterkunde - talencombinatie Frans - Grieks
ABTALKFI,Bachelor of Arts in de taal- en letterkunde - talencombinatie Frans - Italiaans
ABTALKFL,Bachelor of Arts in de taal- en letterkunde - talencombinatie Frans - Latijn
ABTALKFS,Bachelor of Arts in de taal- en letterkunde - talencombinatie Frans - Spaans
ABTALKFZ,Bachelor of Arts in de taal- en letterkunde - talencombinatie Frans - Zweeds
ABTALKLG,Bachelor of Arts in de taal- en letterkunde - talencombinatie Latijn - Grieks
ABTALKLI,Bachelor of Arts in de taal- en letterkunde - talencombinatie Latijn - Italiaans
ABTALKLS,Bachelor of Arts in de taal- en letterkunde - talencombinatie Latijn - Spaans
ABTALKLZ,Bachelor of Arts in de taal- en letterkunde - talencombinatie Latijn - Zweeds
ABTALKND,Bachelor of Arts in de taal- en letterkunde - talencombinatie Nederlands - Duits
ABTALKNE,Bachelor of Arts in de taal- en letterkunde - talencombinatie Nederlands - Engels
ABTALKNF,Bachelor of Arts in de taal- en letterkunde - talencombinatie Nederlands - Frans
ABTALKNG,Bachelor of Arts in de taal- en letterkunde - talencombinatie Nederlands - Grieks
ABTALKNI,Bachelor of Arts in de taal- en letterkunde - talencombinatie Nederlands - Italiaans
ABTALKNL,Bachelor of Arts in de taal- en letterkunde - talencombinatie Nederlands - Latijn
ABTALKNS,Bachelor of Arts in de taal- en letterkunde - talencombinatie Nederlands - Spaans
ABTALKNZ,Bachelor of Arts in de taal- en letterkunde - talencombinatie Nederlands - Zweeds
AB7TGTDI,"Bachelor of Arts in de toegepaste taalkunde: combinatie van ten minste twee talen - talencombinatie Nederlands, Duits, Italiaans"
AB7TGTDR,"Bachelor of Arts in de toegepaste taalkunde: combinatie van ten minste twee talen - talencombinatie Nederlands, Duits, Russisch"
AB7TGTDS,"Bachelor of Arts in de toegepaste taalkunde: combinatie van ten minste twee talen - talencombinatie Nederlands, Duits, Spaans"
AB7TGTDT,"Bachelor of Arts in de toegepaste taalkunde: combinatie van ten minste twee talen - talencombinatie Nederlands, Duits, Turks"
AB7TGTED,"Bachelor of Arts in de toegepaste taalkunde: combinatie van ten minste twee talen - talencombinatie Nederlands, Engels, Duits"
AB7TGTEF,"Bachelor of Arts in de toegepaste taalkunde: combinatie van ten minste twee talen - talencombinatie Nederlands, Engels, Frans"
AB7TGTEI,"Bachelor of Arts in de toegepaste taalkunde: combinatie van ten minste twee talen - talencombinatie Nederlands, Engels, Italiaans"
AB7TGTER,"Bachelor of Arts in de toegepaste taalkunde: combinatie van ten minste twee talen - talencombinatie Nederlands, Engels, Russisch"
AB7TGTES,"Bachelor of Arts in de toegepaste taalkunde: combinatie van ten minste twee talen - talencombinatie Nederlands, Engels, Spaans"
AB7TGTET,"Bachelor of Arts in de toegepaste taalkunde: combinatie van ten minste twee talen - talencombinatie Nederlands, Engels, Turks"
AB7TGTFD,"Bachelor of Arts in de toegepaste taalkunde: combinatie van ten minste twee talen - talencombinatie Nederlands, Frans, Duits"
AB7TGTFI,"Bachelor of Arts in de toegepaste taalkunde: combinatie van ten minste twee talen - talencombinatie Nederlands, Frans, Italiaans"
AB7TGTFR,"Bachelor of Arts in de toegepaste taalkunde: combinatie van ten minste twee talen - talencombinatie Nederlands, Frans, Russisch"
AB7TGTFS,"Bachelor of Arts in de toegepaste taalkunde: combinatie van ten minste twee talen - talencombinatie Nederlands, Frans, Spaans"
AB7TGTFT,"Bachelor of Arts in de toegepaste taalkunde: combinatie van ten minste twee talen - talencombinatie Nederlands, Frans, Turks"
ABWYSB,Bachelor of Arts in de wijsbegeerte
AMARCH,Master of Arts in de archeologie
AMSHIE,Master of Arts in de geschiedenis
AMHTLE,Master of Arts in de historische taal- en letterkunde
AMKUNS,Master of Arts in de kunstwetenschappen
AM7MECDI,"Master of Arts in de meertalige communicatie: combinatie van ten minste twee talen - talencombinatie Nederlands, Duits, Italiaans"
AM7MECDR,"Master of Arts in de meertalige communicatie: combinatie van ten minste twee talen - talencombinatie Nederlands, Duits, Russisch"
AM7MECDS,"Master of Arts in de meertalige communicatie: combinatie van ten minste twee talen - talencombinatie Nederlands, Duits, Spaans"
AM7MECDT,"Master of Arts in de meertalige communicatie: combinatie van ten minste twee talen - talencombinatie Nederlands, Duits, Turks"
AM7MECED,"Master of Arts in de meertalige communicatie: combinatie van ten minste twee talen - talencombinatie Nederlands, Engels, Duits"
AM7MECEF,"Master of Arts in de meertalige communicatie: combinatie van ten minste twee talen - talencombinatie Nederlands, Engels, Frans"
AM7MECEI,"Master of Arts in de meertalige communicatie: combinatie van ten minste twee talen - talencombinatie Nederlands, Engels, Italiaans"
AM7MECER,"Master of Arts in de meertalige communicatie: combinatie van ten minste twee talen - talencombinatie Nederlands, Engels, Russisch"
AM7MECES,"Master of Arts in de meertalige communicatie: combinatie van ten minste twee talen - talencombinatie Nederlands, Engels, Spaans"
AM7MECET,"Master of Arts in de meertalige communicatie: combinatie van ten minste twee talen - talencombinatie Nederlands, Engels, Turks"
AM7MECFD,"Master of Arts in de meertalige communicatie: combinatie van ten minste twee talen - talencombinatie Nederlands, Frans, Duits"
AM7MECFI,"Master of Arts in de meertalige communicatie: combinatie van ten minste twee talen - talencombinatie Nederlands, Frans, Italiaans"
AM7MECFR,"Master of Arts in de meertalige communicatie: combinatie van ten minste twee talen - talencombinatie Nederlands, Frans, Russisch"
AM7MECFS,"Master of Arts in de meertalige communicatie: combinatie van ten minste twee talen - talencombinatie Nederlands, Frans, Spaans"
AM7MECFT,"Master of Arts in de meertalige communicatie: combinatie van ten minste twee talen - talencombinatie Nederlands, Frans, Turks"
AMMORA,Master of Arts in de moraalwetenschappen
AMOOTCAI,Master of Arts in de Oosterse talen en culturen - afstudeerrichting Midden-Oosten Studies
AMOOTCCH,Master of Arts in de Oosterse talen en culturen - afstudeerrichting China
AMOOTCIN,Master of Arts in de Oosterse talen en culturen - afstudeerrichting India
AMOOTCJA,Master of Arts in de Oosterse talen en culturen - afstudeerrichting Japan
AMSLAV,Master of Arts in de Oost-Europese talen en culturen
AMTALKDG,Master of Arts in de taal- en letterkunde - talencombinatie Duits - Grieks
AMTALKDI,Master of Arts in de taal- en letterkunde - talencombinatie Duits - Italiaans
AMTALKDS,Master of Arts in de taal- en letterkunde - talencombinatie Duits - Spaans
AMTALKDU,Master of Arts in de taal- en letterkunde - taal Duits
AMTALKDZ,Master of Arts in de taal- en letterkunde - talencombinatie Duits - Scandinavistiek
AMTALKED,Master of Arts in de taal- en letterkunde - talencombinatie Engels - Duits
AMTALKEG,Master of Arts in de taal- en letterkunde - talencombinatie Engels - Grieks
AMTALKEI,Master of Arts in de taal- en letterkunde - talencombinatie Engels - Italiaans
AMTALKEL,Master of Arts in de taal- en letterkunde - talencombinatie Engels - Latijn
AMTALKEN,Master of Arts in de taal- en letterkunde - taal Engels
AMTALKES,Master of Arts in de taal- en letterkunde - talencombinatie Engels - Spaans
AMTALKEZ,Master of Arts in de taal- en letterkunde - talencombinatie Engels - Scandinavistiek
AMTALKFD,Master of Arts in de taal- en letterkunde - talencombinatie Frans - Duits
AMTALKFE,Master of Arts in de taal- en letterkunde - talencombinatie Frans - Engels
AMTALKFG,Master of Arts in de taal- en letterkunde - talencombinatie Frans - Grieks
AMTALKFI,Master of Arts in de taal- en letterkunde - talencombinatie Frans - Italiaans
AMTALKFL,Master of Arts in de taal- en letterkunde - talencombinatie Frans - Latijn
AMTALKFR,Master of Arts in de taal- en letterkunde - taal Frans
AMTALKFS,Master of Arts in de taal- en letterkunde - talencombinatie Frans - Spaans
AMTALKFZ,Master of Arts in de taal- en letterkunde - talencombinatie Frans - Scandinavistiek
AMTALKGR,Master of Arts in de taal- en letterkunde - taal Grieks
AMTALKIB,Master of Arts in de taal- en letterkunde - talencombinatie Iberoromaanse talen
AMTALKLA,Master of Arts in de taal- en letterkunde - taal Latijn
AMTALKLG,Master of Arts in de taal- en letterkunde - talencombinatie Latijn - Grieks
AMTALKLI,Master of Arts in de taal- en letterkunde - talencombinatie Latijn - Italiaans
AMTALKLS,Master of Arts in de taal- en letterkunde - talencombinatie Latijn - Spaans
AMTALKLZ,Master of Arts in de taal- en letterkunde - talencombinatie Latijn - Scandinavistiek
