cursuscode,cursusnaam
CBBIBI,Bachelor of Science in de biochemie en de biotechnologie
CBBIOL,Bachelor of Science in de biologie
CBCHMI,Bachelor of Science in de chemie
CBFYST,Bachelor of Science in de fysica en de sterrenkunde
CBGEOF,Bachelor of Science in de geografie en de geomatica
CBGEOL,Bachelor of Science in de geologie
CBINFO,Bachelor of Science in de informatica
CBWISK,Bachelor of Science in de wiskunde
CMFYST,Master of Science in de fysica en de sterrenkunde
CMGEOF,Master of Science in de geografie en de geomatica
CMGEOI,Master of Science in de geologie
CMINFO,Master of Science in de informatica
CMWIKU,Master of Science in de wiskunde
CMGEOG,Master of Science in de geografie
CMGEOM,Master of Science in de geomatica en de landmeetkunde
CMAGEN,International Master of Science in Agro- and Environmental Nematology
CMIMBR,International Master of Science in Marine Biological Resources
CMBCBT,Master of Science in Biochemistry and Biotechnology
CMBIOIBE,Master of Science in Bioinformatics - afstudeerrichting Bioscience Engineering
CMBIOIEN,Master of Science in Bioinformatics - afstudeerrichting Engineering
CMBIOISB,Master of Science in Bioinformatics - afstudeerrichting Systems Biology
CMBIOY,Master of Science in Biology
CMCHMIAE,Master of Science in Chemistry - afstudeerrichting Analytical and Environmental Chemistry
CMCHMIBP,Master of Science in Chemistry - afstudeerrichting (Bio)Organic and Polymer Chemistry
CMCHMIMN,Master of Science in Chemistry - afstudeerrichting Materials and Nano Chemistry
CMGLOG,Master of Science in Geology
CMMASM,Master of Science in Marine and Lacustrine Science and Management
CMPLRSLR,Master of Science in Physical Land Resources - afstudeerrichting Land Resources Engineering
CMPLRSSO,Master of Science in Physical Land Resources - afstudeerrichting Soil Science
CMRSEACO,International Master of Science in Marine Biological Resources - afstudeerrichting Applied Marine Ecology and Conservation
CMRSEAEN,International Master of Science in Marine Biological Resources - afstudeerrichting Marine Environment Health
CMRSEAFU,International Master of Science in Marine Biological Resources - afstudeerrichting Global Ocean Change
CMRSEAMA,International Master of Science in Marine Biological Resources - afstudeerrichting Management of Living Marine Resources
CMRSEAPR,International Master of Science in Marine Biological Resources - afstudeerrichting Marine Food Production
CMCHMY,Master of Science in Chemistry
CMBIOIBE,Master of Science in Bioinformatics - afstudeerrichting Bioscience Engineering
CMBIOIEN,Master of Science in Bioinformatics - afstudeerrichting Engineering
CMBIOISB,Master of Science in Bioinformatics - afstudeerrichting Systems Biology
CMBIOIBE,Master of Science in Bioinformatics - afstudeerrichting Bioscience Engineering
CMBIOIEN,Master of Science in Bioinformatics - afstudeerrichting Engineering
CMBIOISB,Master of Science in Bioinformatics - afstudeerrichting Systems Biology
