cursuscode,cursusnaam
DBBIOM,Bachelor of Science in de biomedische wetenschappen
DBARTS,Bachelor of Science in de geneeskunde
DBBESP,Bachelor of Science in de lichamelijke opvoeding en de bewegingswetenschappen
DBLGAUAU,Bachelor of Science in de logopedische en audiologische wetenschappen - afstudeerrichting audiologie
DBLGAULO,Bachelor of Science in de logopedische en audiologische wetenschappen - afstudeerrichting logopedie
DBKINE,Bachelor of Science in de revalidatiewetenschappen en de kinesitherapie
DBTAND,Bachelor of Science in de tandheelkunde
DMGENK,Master of Medicine in de geneeskunde
DMBSDMFA,"Master of Science in de bewegings- en sportwetenschappen - afstudeerrichting fysieke activiteit, fitheid en gezondheid"
DMBSDMSB,Master of Science in de bewegings- en sportwetenschappen - afstudeerrichting sportbeleid en sportmanagement
DMBSDMST,Master of Science in de bewegings- en sportwetenschappen - afstudeerrichting sporttraining en coaching
DMERGW,Master of Science in de ergotherapeutische wetenschap
DMGEBE,Master of Science in de gezondheidsbevordering
DMAULGAU,Master of Science in de logopedische en audiologische wetenschappen - afstudeerrichting audiologie
DMAULGLO,Master of Science in de logopedische en audiologische wetenschappen - afstudeerrichting logopedie
DMKINEIA,Master of Science in de revalidatiewetenschappen en de kinesitherapie - afstudeerrichting revalidatiewetenschappen en kinesitherapie bij inwendige aandoeningen
DMKINEKD,Master of Science in de revalidatiewetenschappen en de kinesitherapie - afstudeerrichting revalidatiewetenschappen en kinesitherapie bij kinderen
DMKINEMU,Master of Science in de revalidatiewetenschappen en de kinesitherapie - afstudeerrichting revalidatiewetenschappen en kinesitherapie bij musculoskeletale aandoeningen
DMKINEOU,Master of Science in de revalidatiewetenschappen en de kinesitherapie - afstudeerrichting revalidatiewetenschappen en kinesitherapie bij ouderen
DMTAND,Master of Science in de tandheelkunde
DMVEVR,Master of Science in de verpleegkunde en de vroedkunde
DMMABE,Master of Science in het management en het beleid van de gezondheidszorg
DMGEVO,Master of Science in de gezondheidsvoorlichting en -bevordering
DMLOBWBO,Master of Science in de lichamelijke opvoeding en de bewegingswetenschappen - afstudeerrichting bewegingsonderwijs
DMLOBWFA,"Master of Science in de lichamelijke opvoeding en de bewegingswetenschappen - afstudeerrichting fysieke activiteit, fitheid en gezondheid"
DMLOBWSB,Master of Science in de lichamelijke opvoeding en de bewegingswetenschappen - afstudeerrichting sportbeleid en sportmanagement
DMLOBWST,Master of Science in de lichamelijke opvoeding en de bewegingswetenschappen - afstudeerrichting sporttraining en coaching
DMLGAUAU,Master of Science in de logopedische en audiologische wetenschappen - afstudeerrichting audiologie
DMKINELO,Master of Science in de revalidatiewetenschappen en de kinesitherapie - afstudeerrichting lerarenopleiding revalidatiewetenschappen en kinesitherapie
DMBIOE,Master of Science in Biomedical Sciences
