cursuscode,cursusnaam
EB7INWBO,Bachelor of Science in de industriële wetenschappen - afstudeerrichting bouwkunde
EB7INWCH,Bachelor of Science in de industriële wetenschappen - afstudeerrichting chemie
EB7INWEI,Bachelor of Science in de industriële wetenschappen - afstudeerrichting elektronica-ICT
EB7INWEM,Bachelor of Science in de industriële wetenschappen - afstudeerrichting elektromechanica
EB7INWIN,Bachelor of Science in de industriële wetenschappen - afstudeerrichting informatica
EBARCH,Bachelor of Science in de ingenieurswetenschappen: architectuur
EBIRWEBM,Bachelor of Science in de ingenieurswetenschappen - afstudeerrichting biomedische ingenieurstechnieken
EBIRWEBO,Bachelor of Science in de ingenieurswetenschappen - afstudeerrichting bouwkunde
EBIRWECM,Bachelor of Science in de ingenieurswetenschappen - afstudeerrichting chemische technologie en materiaalkunde
EBIRWECO,Bachelor of Science in de ingenieurswetenschappen - afstudeerrichting computerwetenschappen
EBIRWEEL,Bachelor of Science in de ingenieurswetenschappen - afstudeerrichting elektrotechniek
EBIRWETN,Bachelor of Science in de ingenieurswetenschappen - afstudeerrichting toegepaste natuurkunde
EBIRWEWE,Bachelor of Science in de ingenieurswetenschappen - afstudeerrichting werktuigkunde-elektrotechniek
EBBOUW,Bachelor of Science in de ingenieurswetenschappen: bouwkunde
EBCTMA,Bachelor of Science in de ingenieurswetenschappen: chemische technologie en materiaalkunde
EBCOMP,Bachelor of Science in de ingenieurswetenschappen: computerwetenschappen
EBELEK,Bachelor of Science in de ingenieurswetenschappen: elektrotechniek
EBTNAT,Bachelor of Science in de ingenieurswetenschappen: toegepaste natuurkunde
EBWERK,Bachelor of Science in de ingenieurswetenschappen: werktuigkunde-elektrotechniek
EB6ION,Bachelor of Science in de industriële wetenschappen: industrieel ontwerpen
EB6INWMP,Bachelor of Science in de industriële wetenschappen - afstudeerrichting machine- en productieautomatisering
EB6INWEI,Bachelor of Science in de industriële wetenschappen - afstudeerrichting elektronica-ICT
EB6INWEM,Bachelor of Science in de industriële wetenschappen - afstudeerrichting elektromechanica
EM7BOU,Master of Science in de industriële wetenschappen: bouwkunde
EM7CHE,Master of Science in de industriële wetenschappen: chemie
EM7ELM,Master of Science in de industriële wetenschappen: elektromechanica
EM7ELIEL,Master of Science in de industriële wetenschappen: elektronica-ICT - afstudeerrichting elektronica
EM7ELIIC,Master of Science in de industriële wetenschappen: elektronica-ICT - afstudeerrichting ICT
EM7ELTAU,Master of Science in de industriële wetenschappen: elektrotechniek - afstudeerrichting automatisering
