cursuscode,cursusnaam
FBHAIR,Bachelor of Science handelsingenieur
FB7BKM,Bachelor of Science in de bestuurskunde en het publiek management
FBECON,Bachelor of Science in de economische wetenschappen
FB7HWE,Bachelor of Science in de handelswetenschappen
FBTOEG,Bachelor of Science in de toegepaste economische wetenschappen
FMALEC,Master of Science in de algemene economie
FMBECOBE,Master of Science in de bedrijfseconomie - afstudeerrichting bedrijfseconomie
FMBECOFI,Master of Science in de bedrijfseconomie - afstudeerrichting fiscaliteit
FM7BKM,Master of Science in de bestuurskunde en het publiek management
FM7HANCB,Master of Science in de handelswetenschappen - afstudeerrichting commercieel beleid
FM7HANFI,Master of Science in de handelswetenschappen - afstudeerrichting fiscaliteit
FM7HANMI,Master of Science in de handelswetenschappen - afstudeerrichting management en informatica
FM7HANPO,Master of Science in de handelswetenschappen - afstudeerrichting personeels- en organisatiemanagement
FM7HANRM,Master of Science in de handelswetenschappen - afstudeerrichting Finance en risicomanagement
FMEBECAC,Master of Science in Business Economics - afstudeerrichting Accountancy
FMEBECCF,Master of Science in Business Economics - afstudeerrichting Corporate Finance
FMEBECMA,Master of Science in Business Economics - afstudeerrichting Marketing
FMEBENDA,Master of Science in Business Engineering - afstudeerrichting Data Analytics
FMEBENFI,Master of Science in Business Engineering - afstudeerrichting Finance
FMEBENOM,Master of Science in Business Engineering - afstudeerrichting Operations Management
FMEECO,Master of Science in Economics
