cursuscode,cursusnaam
GBDIER,Bachelor of Science in de diergeneeskunde
GMDIERGD,Master of Veterinary Medicine in de diergeneeskunde - afstudeerrichting gezelschapsdieren
GMDIERHK,Master of Veterinary Medicine in de diergeneeskunde - afstudeerrichting herkauwers
GMDIERON,Master of Veterinary Medicine in de diergeneeskunde - afstudeerrichting onderzoek
GMDIERPA,Master of Veterinary Medicine in de diergeneeskunde - afstudeerrichting paard
GMDIERVP,"Master of Veterinary Medicine in de diergeneeskunde - afstudeerrichting varken, pluimvee en konijn"
