cursuscode,cursusnaam
HBPEDAKO,Bachelor of Science in de pedagogische wetenschappen - afstudeerrichting klinische orthopedagogiek en Disability Studies
HBPEDAPO,Bachelor of Science in de pedagogische wetenschappen - afstudeerrichting pedagogiek en onderwijskunde
HBPEDASA,Bachelor of Science in de pedagogische wetenschappen - afstudeerrichting sociale agogiek
HBPSYCBD,Bachelor of Science in de psychologie - afstudeerrichting bedrijfspsychologie en personeelsbeleid
HBPSYCKL,Bachelor of Science in de psychologie - afstudeerrichting klinische psychologie
HBPSYCON,Bachelor of Science in de psychologie - afstudeerrichting onderwijs
HBPSYCTH,Bachelor of Science in de psychologie - afstudeerrichting theoretische en experimentele psychologie
HMPEDAKO,Master of Science in de pedagogische wetenschappen - afstudeerrichting klinische orthopedagogiek en Disability Studies
HMPEDAPO,Master of Science in de pedagogische wetenschappen - afstudeerrichting pedagogiek en onderwijskunde
HMPSYCBD,Master of Science in de psychologie - afstudeerrichting bedrijfspsychologie en personeelsbeleid
HMPSYCKL,Master of Science in de psychologie - afstudeerrichting klinische psychologie
HMPSYCTH,Master of Science in de psychologie - afstudeerrichting theoretische en experimentele psychologie
HMSOCW,Master of Science in het sociaal werk
HMPSYCON,Master of Science in de psychologie - afstudeerrichting onderwijs
