cursuscode,cursusnaam
IBBIORBN,Bachelor of Science in de bio-ingenieurswetenschappen - afstudeerrichting bos- en natuurbeheer
IBBIORCG,Bachelor of Science in de bio-ingenieurswetenschappen - afstudeerrichting cel- en genbiotechnologie
IBBIORCV,Bachelor of Science in de bio-ingenieurswetenschappen - afstudeerrichting chemie en voedingstechnologie
IBBIORLK,Bachelor of Science in de bio-ingenieurswetenschappen - afstudeerrichting landbouwkunde
IBBIORLW,Bachelor of Science in de bio-ingenieurswetenschappen - afstudeerrichting land- en waterbeheer
IBBIORMT,Bachelor of Science in de bio-ingenieurswetenschappen - afstudeerrichting milieutechnologie
IB7BWE,Bachelor of Science in de biowetenschappen
IB6BIW,Bachelor of Science in de bio-industriële wetenschappen
IMPLRSLR,Master of Science in Physical Land Resources - afstudeerrichting Land Resources Engineering
IMPLRSSO,Master of Science in Physical Land Resources - afstudeerrichting Soil Science
IMBONA,Master of Science in de bio-ingenieurswetenschappen: bos- en natuurbeheer
IMCHEM,Master of Science in de bio-ingenieurswetenschappen: chemie en bioprocestechnologie
IMLAND,Master of Science in de bio-ingenieurswetenschappen: landbouwkunde
IMLAWA,Master of Science in de bio-ingenieurswetenschappen: land- en waterbeheer
IMLEMI,Master of Science in de bio-ingenieurswetenschappen: levensmiddelenwetenschappen en voeding
IMMITE,Master of Science in de bio-ingenieurswetenschappen: milieutechnologie
IM7BWLPD,Master of Science in de biowetenschappen: land- en tuinbouwkunde - afstudeerrichting plantaardige en dierlijke productie
IM7BWLTB,Master of Science in de biowetenschappen: land- en tuinbouwkunde - afstudeerrichting tuinbouwkunde
IM7BWLTL,Master of Science in de biowetenschappen: land- en tuinbouwkunde - afstudeerrichting tropische en subtropische landbouw
IM7BWV,Master of Science in de biowetenschappen: voedingsindustrie
IM7BCH,Master of Science in de industriële wetenschappen: biochemie
IMETEB,International Master of Science in Environmental Technology and Engineering
IMRDVC,International Master of Science in Rural Development
IMSOGLPL,International Master of Science in Soils and Global Change - afstudeerrichting Physical Land Resources and Global Change
IMSOGLSB,International Master of Science in Soils and Global Change - afstudeerrichting Soil Biogeochemistry and Global Change
IMSINR,International Master of Science in Sustainable and Innovative Natural Resource Management
IMAQUA,Master of Science in Aquaculture
IMCEGB,Master of Science in Bioscience Engineering: Cell and Gene Biotechnology
IMESTE,Master of Science in Environmental Science and Technology
IMFOTE,Master of Science in Food Technology
IMNURD,Master of Science in Nutrition and Rural Development
IMPLRSLR,Master of Science in Physical Land Resources - afstudeerrichting Land Resources Engineering
IMPLRSSO,Master of Science in Physical Land Resources - afstudeerrichting Soil Science
IM6BCH,Master of Science in de industriële wetenschappen: biochemie
IM6CHE,Master of Science in de industriële wetenschappen: chemie
IM6MIL,Master of Science in de industriële wetenschappen: milieukunde
