cursuscode,cursusnaam
KBCOMM,Bachelor of Science in de communicatiewetenschappen
KBPOLI,Bachelor of Science in de politieke wetenschappen
KBSOCI,Bachelor of Science in de sociologie
KBSOSCCS,Bachelor of Science in Social Sciences - afstudeerrichting Communication Studies
KBSOSCPS,Bachelor of Science in Social Sciences - afstudeerrichting Political Sciences
KBSOSCSO,Bachelor of Science in Social Sciences - afstudeerrichting Sociology
KMEMGS,Master of Arts in Global Studies
KMCOMMCM,Master of Science in de communicatiewetenschappen - afstudeerrichting communicatiemanagement
KMCOMMFT,Master of Science in de communicatiewetenschappen - afstudeerrichting film- en televisiestudies
KMCOMMJR,Master of Science in de communicatiewetenschappen - afstudeerrichting journalistiek
KMCOMMNM,Master of Science in de communicatiewetenschappen - afstudeerrichting nieuwe media en maatschappij
KMEUST,Master of Science in de EU-studies
KMPOLIIP,Master of Science in de politieke wetenschappen - afstudeerrichting internationale politiek
KMPOLINP,Master of Science in de politieke wetenschappen - afstudeerrichting nationale politiek
KMSOCI,Master of Science in de sociologie
KMEMGS,Master of Arts in Global Studies
KMCODT,Master of Science in Conflict and Development Studies
KMSOCY,Master of Science in Sociology
